x1,x2,y
2.793,3.046,0
0.735,2.445,1
1.747,0.008,1
3.586,2.617,1
0.766,0.990,0
4.465,1.548,1
2.967,4.933,1
4.649,1.714,1
1.049,3.464,1
4.918,4.377,1
0.439,4.625,1
1.892,1.052,1
1.191,4.775,1
2.166,1.547,1
0.043,1.973,1
3.597,1.225,1
1.518,0.504,1
4.702,3.679,1
3.978,4.713,1
3.567,3.820,0
4.913,4.639,0
3.221,2.397,1
0.867,2.864,1
0.928,2.008,1
3.030,4.907,1
3.865,2.170,1
3.250,1.799,1
4.127,3.912,0
2.947,0.142,1
3.014,2.393,1
4.196,0.537,1
0.205,0.710,1
0.495,2.481,1
1.562,1.215,0
0.614,0.618,0
0.517,3.702,1
2.864,0.089,1
2.482,2.067,0
2.247,0.262,1
0.561,2.462,1
4.380,1.854,1
2.933,0.659,1
1.320,2.273,1
0.114,0.144,0
0.700,2.243,1
4.493,1.999,1
1.568,2.883,1
4.213,4.068,0
1.996,0.547,1
2.836,4.539,1
4.131,0.221,1
3.611,2.234,1
0.953,4.276,1
4.299,0.222,1
0.052,4.515,1
0.064,1.667,1
1.751,2.888,1
4.866,1.980,1
1.103,4.542,1
1.244,1.983,1
2.846,1.494,1
2.550,2.345,0
3.620,1.924,1
3.707,4.599,1
2.837,4.966,1
4.650,1.970,1
4.687,4.659,0
2.418,4.501,1
4.735,2.839,1
2.867,3.485,1
4.969,4.425,1
4.088,1.814,1
3.759,3.192,1
3.647,4.372,1
4.185,0.994,1
3.056,2.264,1
3.608,1.686,1
2.778,3.515,1
2.093,1.998,0
3.518,1.170,1
4.181,3.226,1
2.556,1.143,1
3.697,4.217,1
0.650,3.828,1
2.797,2.753,0
2.531,4.371,1
1.028,0.201,1
2.732,1.702,1
1.309,4.555,1
1.254,4.068,1
1.640,3.416,1
1.008,4.963,1
1.385,3.860,1
3.179,2.990,0
3.236,4.630,1
2.155,0.547,1
1.967,4.843,1
2.262,0.332,1
0.487,4.068,1
2.918,1.467,1
0.256,0.878,1
3.780,2.391,1
2.363,4.199,1
2.737,0.356,1
4.254,0.863,1
4.224,3.583,1
1.989,4.332,1
1.157,1.582,0
2.582,4.040,1
3.043,2.305,1
1.283,3.466,1
4.026,1.994,1
3.157,1.620,1
2.522,3.357,1
0.103,2.545,1
4.717,1.660,1
0.776,3.859,1
1.446,3.932,1
2.803,4.816,1
1.105,3.678,1
3.906,3.729,0
1.962,2.966,1
1.031,2.966,1
3.092,1.257,1
1.538,0.096,1
4.552,2.689,1
3.285,3.334,0
4.197,4.541,0
3.142,3.417,0
4.081,4.917,1
2.164,4.111,1
4.034,4.978,1
1.193,2.658,1
1.839,2.461,1
4.837,3.262,1
4.930,2.254,1
4.153,0.405,1
2.928,1.970,1
2.575,3.385,1
3.831,1.729,1
1.161,2.676,1
4.113,2.478,1
1.499,1.711,0
1.672,4.660,1
2.331,0.525,1
0.236,2.879,1
4.433,2.267,1
1.852,0.983,1
2.178,0.373,1
4.176,1.104,1
3.087,3.517,0
1.164,0.637,1
4.332,4.357,0
4.707,3.371,1
4.959,4.489,0
4.834,2.500,1
0.145,2.137,1
1.065,1.723,1
2.261,2.154,0
3.519,3.112,0
1.656,2.633,1
2.305,4.138,1
0.863,3.941,1
0.790,4.356,1
2.413,4.276,1
1.028,0.485,1
3.039,3.274,0
0.902,4.571,1
0.192,2.157,1
0.716,2.779,1
0.970,0.885,0
4.379,2.227,1
4.088,0.164,1
4.846,3.195,1
4.011,3.172,1
4.418,3.859,1
3.092,1.748,1
3.952,3.927,0
2.218,4.028,1
0.910,0.998,0
4.414,3.919,0
2.741,3.039,0
4.012,2.341,1
2.131,3.173,1
2.928,1.573,1
4.464,4.407,0
1.637,4.706,1
3.578,4.372,1
3.604,1.871,1
3.580,2.214,1
3.326,0.515,1
3.701,3.432,0
4.012,0.029,1
2.382,2.817,0
3.246,0.640,1
0.783,4.617,1
2.073,2.859,1
0.278,4.710,1
0.474,1.993,1
4.623,4.549,0
4.028,3.029,1
0.652,0.038,1
2.516,2.788,0
0.221,2.585,1
3.560,2.647,1
4.395,3.484,1
2.342,4.445,1
0.966,0.692,0
2.144,2.332,0
0.005,0.064,0
4.943,0.897,1
1.411,1.237,0
2.979,4.112,1
4.816,1.437,1
0.826,4.781,1
1.823,2.497,1
0.588,2.611,1
1.617,4.906,1
1.112,0.764,0
4.761,1.764,1
1.868,0.170,1
3.601,1.706,1
1.790,0.121,1
0.868,0.493,0
4.991,4.093,1
2.689,1.670,1
0.395,4.021,1
2.636,1.573,1
3.617,3.150,0
1.694,4.937,1
0.106,3.773,1
4.774,2.507,1
0.725,1.177,0
1.534,4.665,1
4.114,4.414,0
4.333,3.824,1
1.195,4.956,1
