x1,x2,y
3.395,1.780,0
1.790,0.492,0
2.732,0.749,0
8.421,7.279,0
9.042,8.315,0
7.522,8.925,0
4.644,8.685,1
3.615,1.181,1
8.346,9.833,0
9.177,2.305,1
0.917,5.287,1
2.707,3.422,0
5.132,4.936,0
9.449,4.526,1
0.108,5.191,1
5.568,6.179,0
1.390,7.811,1
8.905,4.356,1
6.400,0.630,1
3.162,0.355,1
0.117,1.240,0
9.822,0.043,1
0.596,0.185,0
0.432,1.916,0
4.641,1.324,1
5.693,3.635,1
9.656,8.748,0
8.247,1.981,1
8.174,5.638,1
2.710,7.247,1
6.668,2.817,1
6.218,9.018,1
7.886,1.957,1
4.543,7.873,1
6.930,6.440,0
1.318,0.360,0
3.211,5.065,0
4.487,8.056,1
8.237,0.192,1
3.579,0.917,1
8.939,9.268,0
5.483,5.179,0
5.569,0.554,1
6.905,7.903,0
4.537,7.228,1
3.659,7.327,1
2.997,0.611,1
6.583,2.591,1
5.051,1.222,1
1.562,6.165,1
5.211,4.640,0
7.260,2.974,1
0.642,1.268,0
3.121,5.602,1
9.079,6.348,1
6.467,9.212,1
4.238,1.780,1
9.832,5.170,1
9.641,8.709,0
1.691,1.391,0
5.089,0.329,1
1.464,1.223,0
7.648,6.306,0
7.342,7.879,0
7.707,6.979,0
5.407,8.347,1
5.101,7.121,1
7.476,8.360,0
1.756,6.872,1
2.273,9.417,1
9.307,3.847,1
0.654,9.875,1
9.802,0.369,1
1.101,8.412,1
0.193,4.628,1
9.724,2.233,1
6.526,9.052,1
1.624,0.070,0
6.289,6.529,0
8.363,9.814,0
0.069,0.530,0
4.558,2.203,1
1.064,8.143,1
1.135,8.583,1
9.994,3.018,1
3.928,8.541,1
5.931,9.712,1
1.208,3.914,1
5.229,9.404,1
6.657,9.126,1
7.467,4.763,1
8.044,5.208,1
6.247,6.039,0
1.174,1.373,0
1.833,2.212,0
4.981,6.712,0
5.625,8.698,1
3.702,9.106,1
2.352,0.236,1
7.143,4.456,1
7.940,5.968,0
5.043,0.246,1
9.747,0.105,1
3.620,1.990,0
4.952,7.112,1
2.050,8.489,1
4.808,6.636,0
5.164,6.641,0
8.922,6.818,1
5.597,5.040,0
0.410,6.180,1
9.024,5.991,1
1.518,1.410,0
2.350,9.984,1
5.500,9.427,1
3.532,6.867,1
2.693,3.249,0
5.241,9.022,1
6.670,8.062,0
2.008,7.231,1
2.905,1.744,0
6.019,5.016,0
8.746,7.116,0
4.480,1.980,1
5.265,0.860,1
0.173,6.515,1
2.485,7.096,1
3.455,1.582,0
1.390,9.192,1
2.584,6.978,1
0.627,2.336,0
7.580,3.749,1
2.627,3.497,0
8.283,6.320,0
2.184,3.643,0
2.352,2.249,0
8.015,5.153,1
0.979,5.342,1
9.700,4.936,1
3.919,6.377,1
9.398,4.725,1
0.799,3.325,1
7.147,0.960,1
5.893,7.507,0
8.001,9.216,0
8.222,5.027,1
7.466,2.219,1
9.634,9.818,0
0.869,0.652,0
8.643,3.311,1
3.881,4.854,0
1.226,7.960,1
4.375,4.060,0
6.345,1.324,1
1.366,6.822,1
5.208,8.356,1
4.537,3.295,0
1.536,0.628,0
3.985,1.944,1
9.636,4.011,1
4.085,9.469,1
5.072,6.533,0
8.418,6.808,0
0.270,9.317,1
1.305,7.866,1
9.360,9.114,0
7.431,3.781,1
8.305,2.773,1
3.890,3.668,0
4.596,8.403,1
0.469,3.778,1
7.367,7.061,0
2.074,9.371,1
4.205,9.779,1
3.479,7.594,1
6.444,9.786,1
2.880,1.322,0
4.001,3.264,0
7.752,4.617,1
1.733,4.609,1
7.210,1.118,1
5.960,9.257,1
8.178,1.553,1
1.310,1.829,0
8.334,1.857,1
1.410,3.855,1
4.745,3.553,0
5.036,0.905,1
6.837,8.191,0
2.908,2.545,0
2.054,0.511,0
3.751,1.123,1
4.337,0.714,1
7.173,1.211,1
6.820,6.538,0
1.356,1.118,0
5.241,6.942,0
2.699,6.214,1
7.081,5.733,0
0.599,6.188,1
1.180,8.144,1
7.058,9.553,1
2.364,1.686,0
9.215,9.734,0
1.884,1.161,0
8.920,7.461,0
4.199,7.604,1
6.280,8.444,1
