x1,x2,y
2.195,1.308,0
4.486,0.181,1
2.185,5.904,1
1.126,8.251,1
8.917,3.258,1
4.537,7.228,1
1.854,8.648,1
6.648,0.803,1
2.55,4.068,0
2.435,3.083,0
8.021,9.296,0
5.412,5.744,0
5.912,9.128,1
8.738,8.878,0
8.216,0.371,1
9.651,5.22,1
6.933,2.925,1
0.416,5.42,1
7.444,6.15,0
0.93,7.026,1
1.058,0.047,0
3.704,2.743,0
9.79,6.042,1
7.938,8.845,0
8.22,8.076,0
0.869,7.23,1
7.498,7.676,0
9.151,2.002,1
2.907,0.037,1
6.243,1.96,1
6.585,2.016,1
1.127,7.393,1
2.743,9.401,1
5.228,5.747,0
7.513,7.674,0
4.972,9.506,1
0.247,4.981,1
1.736,5.042,1
7.633,6.154,0
1.518,1.41,0
1.747,6.65,1
6.401,2.433,1
5.541,5.003,0
0.909,5.653,1
6.258,4.335,0
4.462,0.283,1
4.238,1.78,1
4.466,5.933,0
4.851,3.057,0
0.325,6.729,1
4.081,5.834,0
4.817,1.121,1
5.148,8.344,1
0.828,0.217,0
3.128,0.61,1
2.575,6.249,1
3.235,5.257,1
9.129,5.911,1
2.142,9.415,1
6.054,2.633,1
0.735,6.212,1
0.429,1.494,0
2.56,1.636,0
1.701,2.922,0
0.967,3.477,1
1.854,2.991,0
8.442,0.107,1
5.037,1.955,1
0.893,7.546,1
9.23,1.738,1
8.21,8.983,0
2.345,4.168,0
6.001,7.857,0
4.928,4.181,0
0.085,7.375,1
8.484,3.294,1
6.643,5.564,0
5.411,3.6,0
4.893,7.913,1
9.188,5.281,1
8.385,0.215,1
5.888,7.854,0
0.338,2.504,1
3.212,2.737,0
8.254,6.265,0
8.931,7.257,0
1.253,7.88,1
3.964,4.464,0
1.178,1.08,0
3.003,5.853,1
8.797,1.072,1
3.484,9.276,1
0.195,6.737,1
5.839,8.986,1
7.161,2.663,1
1.809,4.966,1
9.536,3.477,1
1.779,0.285,0
3.227,5.774,1
2.138,4.582,1
4.379,2.187,1
0.267,7.039,1
5.256,2.996,1
5.831,4.091,0
4.955,8.247,1
8.839,3.729,1
8.458,7.743,0
6.138,4.43,0
2.137,9.64,1
8.83,4.862,1
4.579,0.907,1
0.701,8.369,1
