x1,x2,y
3.925,4.227,0
3.521,2.606,0
4.857,4.275,0
0.028,2.543,1
1.63,1.688,0
4.046,0.624,1
0.312,2.972,1
3.69,1.773,1
2.792,0.76,1
3.529,0.868,1
3.524,3.023,0
4.276,4.781,0
3.505,2.139,0
4.606,2.673,1
0.484,0.164,0
1.06,0.639,0
1.411,2.672,0
3.036,2.509,0
1.132,2.279,0
0.76,3.026,1
0.596,3.327,1
2.855,2.015,0
4.428,2.095,1
0.011,3.066,1
4.32,3.318,0
4.213,3.17,0
4.053,0.911,1
0.389,0.286,0
1.623,2.917,0
3.244,4.932,0
2.828,3.397,0
1.964,4.275,1
3.289,0.213,1
3.978,3.39,0
0.276,4.928,1
3.448,2.6,0
3.994,1.816,1
0.352,4.032,1
0.892,0.63,0
1.86,2.404,0
2.886,1.418,0
1.697,3.867,1
1.829,1.036,0
1.973,4.071,1
1.166,2.56,0
3.889,0.88,1
4.057,3.765,0
4.312,0.977,1
4.912,1.266,1
2.195,0.196,1
3.253,3.71,0
4.877,0.178,1
2.673,4.007,0
3.829,2.736,0
0.87,0.34,0
1.507,2.008,0
4.532,1.961,1
2.827,0.613,1
1.543,3.191,0
1.997,4.275,1
3.191,4.384,0
1.689,1.859,0
4.389,0.18,1
1.029,3.332,1
1.038,0.149,0
2.688,4.171,0
3.581,3.287,0
2.031,3.038,0
0.906,3.267,1
3.687,3.463,0
2.53,3.24,0
1.28,0.376,0
4.834,1.833,1
2.228,2.246,0
1.07,3.403,1
3.888,3.764,0
4.342,3.82,0
1.093,0.68,0
1.227,0.728,0
4.979,4.703,0
1.392,4.642,1
1.764,0.838,0
3.43,0.844,1
2.561,2.891,0
1.539,3.009,0
4.434,0.771,1
0.18,4.438,1
4.343,0.34,1
3.778,0.899,1
3.109,1.793,0
2.406,2.492,0
0.051,2.021,1
4.442,4.564,0
3.321,2.283,0
0.942,4.519,1
2.795,4.151,0
1.827,3.779,1
1.669,1.811,0
1.623,4.107,1
0.88,2.188,0
0.431,2.37,1
0.815,4.186,1
3.4,0.749,1
0.148,0.532,0
1.886,3.729,1
0.531,2.088,0
4.344,4.773,0
0.994,4.046,1
0.806,4.753,1
1.518,0.67,0
0.853,3.532,1
1.443,4.839,1
1.749,4.437,1
2.785,0.925,1
3.338,4.052,0
3.707,3.949,0
4.586,3.166,0
2.052,4.472,1
3.227,0.055,1
2.893,1.579,0
0.51,0.653,0
3.471,2.264,0
4.735,1.143,1
4.455,0.412,1
4.188,0.454,1
3.55,1.274,1
3.933,2.886,0
4.911,0.452,1
2.691,0.282,1
1.591,1.515,0
4.398,4.381,0
3.306,3.249,0
1.438,0.081,0
1.559,3.699,1
4.351,1.502,1
0.828,0.066,0
4.974,4.983,0
0.479,0.582,0
2.59,0.955,0
1.593,4.563,1
3.641,3.819,0
0.516,3.58,1
4.913,4.685,0
4.573,3.866,0
2.818,4.81,1
1.526,4.311,1
3.26,1.987,0
1.078,0.296,0
0.061,1.427,0
2.852,1.818,0
3.382,2.981,0
4.033,2.254,1
3.52,0.705,1
3.748,1.581,1
1.792,0.958,0
1.596,3.559,1
0.204,3.245,1
1.546,3.708,1
0.029,4.161,1
0.483,4.646,1
1.746,3.819,1
4.092,2.334,1
4.573,4.449,0
4.177,0.288,1
2.076,4.508,1
0.277,2.555,1
1.608,3.971,1
2.96,2.321,0
2.754,2.809,0
4.836,3.909,0
2.195,2.461,0
0.247,3.058,1
4.132,2.903,0
3.982,3.093,0
1.844,0.966,0
3.661,0.579,1
3.728,0.257,1
3.041,1.691,0
2.198,1.357,0
0.567,3.991,1
2.505,4.885,1
4.956,2.94,1
4.739,1.618,1
4.873,4.915,0
1.965,4.027,1
2.755,0.808,1
3.873,3.704,0
0.598,1.07,0
0.057,3.65,1
3.713,4.677,0
3.968,1.458,1
2.782,0.811,1
2.708,0.612,1
4.641,2.981,0
0.029,0.441,0
3.751,1.94,1
2.725,4.724,1
0.799,4.285,1
0.736,1.823,0
0.104,2.232,1
3.739,1.861,1
3.806,2.721,0
3.44,2.982,0
1.973,1.183,0
2.283,4.873,1
1.977,3.721,1
0.792,3.523,1
2.0,0.918,0
3.12,0.001,1
1.363,0.804,0
2.618,1.8,0
3.206,2.442,0
1.144,4.607,1
2.307,0.758,0
0.048,4.876,1
4.46,3.506,0
0.944,2.269,0
0.011,2.505,1
2.221,3.306,0
1.693,0.447,0
3.776,3.613,0
4.69,0.799,1
0.387,1.505,0
1.775,2.113,0
1.099,2.082,0
2.964,2.793,0
4.843,4.845,0
0.64,2.994,1
2.555,2.127,0
2.192,1.264,0
4.297,1.519,1
3.205,2.508,0
0.566,4.562,1
3.636,2.652,0
4.656,0.465,1
1.064,2.493,0
4.415,3.302,0
4.436,2.878,0
1.218,3.081,1
1.648,0.695,0
0.868,3.939,1
1.891,3.48,0
4.42,4.425,0
1.835,2.118,0
4.878,2.175,1
2.276,3.838,0
1.747,4.591,1
0.695,3.726,1
4.478,4.365,0
4.625,1.239,1
2.754,1.644,0
3.891,1.918,1
4.909,2.021,1
4.0,3.846,0
2.195,1.398,0
1.002,0.443,0
1.429,0.05,0
4.602,0.203,1
1.206,2.189,0
2.61,4.506,1
2.197,2.993,0
0.3,4.432,1
4.04,1.104,1
4.678,4.319,0
0.729,0.987,0
2.023,1.713,0
4.42,2.217,1
3.991,3.464,0
2.732,3.96,0
0.316,3.922,1
0.785,3.994,1
4.148,1.142,1
3.241,3.985,0
0.455,1.611,0
1.397,3.088,0
4.98,1.812,1
2.856,4.759,1
3.947,0.22,1
0.323,4.511,1
1.755,1.476,0
4.687,1.165,1
0.523,3.036,1
3.819,2.604,0
3.433,0.901,1
4.141,1.863,1
4.461,0.179,1
1.137,1.806,0
0.301,3.911,1
4.556,1.26,1
1.128,1.474,0
4.639,0.536,1
2.725,2.999,0
1.014,1.953,0
2.586,0.849,1
4.149,1.097,1
2.923,3.326,0
0.615,4.574,1
0.919,2.538,0
1.793,1.591,0
3.928,0.2,1
2.121,3.409,0
1.013,2.658,0
0.076,1.476,0
1.287,3.125,1
4.287,2.53,1
4.12,2.217,1
0.048,2.896,1
2.342,4.935,1
1.469,1.25,0
1.059,2.522,0
1.63,0.917,0
3.789,1.645,1
4.006,0.252,1
2.836,2.571,0
2.305,3.159,0
0.371,2.02,0
3.941,4.17,0
1.458,1.094,0
0.133,1.791,0
3.688,0.285,1
4.863,4.188,0
2.674,1.273,0
4.222,2.705,0
4.822,4.389,0
3.26,3.794,0
1.984,2.38,0
2.483,4.64,1
1.893,2.794,0
4.939,1.922,1
3.797,2.669,0
2.403,0.14,1
3.637,0.425,1
4.846,3.626,0
3.58,2.737,0
0.296,2.053,1
4.011,2.586,0
2.488,1.224,0
1.802,1.135,0
4.388,3.077,0
3.141,2.489,0
4.627,3.467,0
4.421,0.229,1
3.059,4.458,0
1.616,2.545,0
2.74,0.947,1
4.337,3.191,0
2.428,4.765,1
2.061,4.151,1
2.409,0.166,1
1.681,2.148,0
0.915,3.083,1
3.104,0.525,1
3.287,4.873,0
3.173,3.026,0
3.984,1.792,1
4.15,1.922,1
3.896,2.215,0
1.265,4.371,1
2.634,2.406,0
2.922,4.852,1
1.579,2.413,0
4.491,1.572,1
1.693,3.638,1
4.225,2.301,1
4.006,3.26,0
3.307,3.757,0
3.031,0.973,1
1.417,1.655,0
4.243,0.098,1
1.776,3.333,0
3.085,3.751,0
3.567,4.922,0
2.128,4.54,1
0.645,3.047,1
3.874,3.397,0
3.693,2.439,0
2.695,0.321,1
1.128,3.736,1
3.682,4.268,0
0.971,1.505,0
3.716,1.737,1
1.491,2.1,0
2.208,2.624,0
4.362,4.429,0
4.192,2.373,1
3.791,0.13,1
3.451,2.914,0
2.89,0.534,1
4.767,1.328,1
3.571,0.472,1
3.733,2.108,0
4.755,1.649,1
3.039,4.613,0
1.716,4.715,1
3.845,0.981,1
0.244,4.3,1
2.376,4.428,1
1.67,0.949,0
4.098,3.321,0
3.858,3.778,0
4.892,2.614,1
4.197,4.496,0
3.679,3.142,0
2.146,3.854,1
0.121,4.004,1
4.53,1.063,1
1.266,0.158,0
3.534,0.232,1
0.506,1.491,0
4.001,0.732,1
3.082,4.031,0
3.32,0.348,1
1.732,4.66,1
1.308,3.985,1
4.937,3.78,0
1.997,2.649,0
4.951,2.79,1
3.254,1.612,0
1.987,2.694,0
4.177,3.239,0
1.178,3.069,1
3.678,2.949,0
2.885,0.729,1
2.111,0.794,0
1.263,0.976,0
4.355,2.822,0
2.841,2.706,0
3.545,2.165,0
2.421,1.801,0
3.032,3.039,0
0.645,0.316,0
1.954,3.221,0
3.708,1.682,1
3.595,0.682,1
1.391,4.731,1
0.854,1.389,0
0.625,3.155,1
3.562,1.465,1
0.773,1.693,0
3.237,1.568,0
4.756,3.683,0
0.82,0.879,0
3.797,4.481,0
0.202,1.355,0
3.87,4.081,0
0.447,3.023,1
3.426,1.126,1
4.364,0.305,1
4.854,2.793,1
4.748,1.527,1
1.096,0.938,0
2.634,3.444,0
4.351,0.463,1
4.855,0.072,1
1.939,3.52,0
1.333,4.48,1
4.097,1.172,1
4.725,1.02,1
1.281,3.497,1
3.929,2.162,1
0.887,0.787,0
0.942,2.102,0
2.804,0.254,1
3.114,0.773,1
4.095,4.636,0
4.85,4.37,0
2.717,0.67,1
0.767,2.147,0
2.807,0.885,1
2.782,1.723,0
0.625,3.435,1
4.606,0.153,1
3.901,2.418,0
1.713,0.526,0
1.171,1.263,0
4.816,0.406,1
0.246,2.612,1
1.421,3.503,1
3.011,2.075,0
0.489,4.243,1
0.838,3.522,1
2.226,4.824,1
0.016,0.382,0
3.682,3.498,0
1.647,3.383,1
2.393,1.466,0
4.188,4.29,0
4.113,3.87,0
4.88,3.414,0
0.879,3.783,1
4.39,2.443,1
4.941,0.468,1
0.092,0.041,0
2.167,0.468,0
1.424,2.942,0
2.595,0.085,1
1.922,4.022,1
4.254,1.91,1
2.963,0.451,1
0.135,3.484,1
1.014,0.552,0
3.136,3.07,0
0.602,2.312,1
1.699,2.86,0
3.846,4.502,0
0.574,0.804,0
4.59,2.52,1
0.126,2.609,1
2.571,3.585,0
3.312,3.581,0
2.742,4.588,1
3.495,4.53,0
4.667,1.156,1
4.344,0.489,1
1.076,0.487,0
1.147,3.199,1
4.837,4.732,0
3.619,4.855,0
2.342,3.053,0
3.892,3.873,0
2.125,4.758,1
4.392,2.076,1
4.243,4.276,0
2.241,3.584,0
0.488,0.879,0
4.764,0.389,1
0.242,4.578,1
1.631,3.587,1
2.262,3.781,0
1.277,3.971,1
1.692,0.369,0
0.013,0.785,0
2.81,2.671,0
4.251,1.168,1
1.677,1.778,0
2.69,4.913,1
3.921,2.871,0
2.833,0.09,1
2.441,1.719,0
3.0,3.666,0
3.165,2.838,0
1.364,2.512,0
0.247,3.709,1
2.287,1.281,0
1.761,3.673,1
3.398,2.859,0
0.994,4.452,1
0.102,1.838,1
3.297,0.426,1
2.283,1.781,0
0.18,2.942,1
4.586,4.569,0
0.683,3.815,1
2.851,3.349,0
3.771,2.829,0
4.085,0.655,1
1.887,4.972,1
0.033,4.902,1
4.583,4.632,0
1.289,2.412,0
3.519,4.754,0
1.557,1.538,0
3.899,2.324,0
4.867,0.998,1
3.636,0.178,1
3.292,1.492,1
3.45,0.602,1
2.38,4.851,1
4.485,2.235,1
0.978,1.073,0
4.661,0.512,1
2.41,1.729,0
3.135,0.418,1
4.704,4.96,0
0.354,0.14,0
3.925,4.546,0
0.662,2.828,1
0.775,2.634,1
0.681,2.923,1
2.395,1.302,0
4.554,3.062,0
2.603,4.951,1
4.484,1.749,1
0.103,0.856,0
3.876,4.132,0
4.127,4.925,0
0.626,0.927,0
1.925,2.66,0
2.427,0.849,0
1.617,0.696,0
4.009,0.987,1
4.508,2.489,1
3.845,0.194,1
0.234,2.309,1
0.953,4.601,1
2.95,3.932,0
1.93,4.357,1
0.212,1.332,0
4.25,4.801,0
1.513,4.032,1
1.87,0.319,0
3.732,3.019,0
1.786,2.669,0
4.939,1.645,1
0.433,4.452,1
4.843,3.048,1
0.491,3.093,1
3.277,3.599,0
0.321,4.592,1
0.38,3.093,1
3.168,2.586,0
4.126,1.067,1
3.29,3.054,0
2.274,2.762,0
1.917,2.888,0
3.581,0.912,1
3.618,0.536,1
3.141,3.231,0
0.709,1.469,0
4.268,4.244,0
2.419,1.866,0
4.001,2.807,0
2.543,0.01,1
2.152,2.944,0
3.73,3.461,0
4.652,0.032,1
4.548,2.967,0
4.818,4.167,0
1.489,1.956,0
2.156,4.837,1
1.819,4.859,1
1.815,4.448,1
4.496,1.426,1
2.902,3.179,0
4.293,4.993,0
1.181,1.898,0
2.969,4.453,0
4.454,0.882,1
3.512,3.927,0
2.713,2.79,0
1.423,0.476,0
3.032,3.918,0
3.458,2.642,0
2.961,3.032,0
3.23,0.344,1
1.544,3.609,1
1.85,2.061,0
1.96,4.101,1
2.417,4.431,1
3.702,1.902,1
2.009,1.586,0
4.242,4.475,0
0.837,2.895,1
